epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.99,Spike,1.0,0.9859535631999999,0.0902304377040833,0.9719071263999999,False
16.0,0.98,Spike,1.0,0.9817208918,0.11069626256909239,0.9634417836,False
16.0,0.97,Spike,1.0,0.9699922584,0.15312071290415832,0.9399845168000001,False
16.0,0.9600000000000001,Spike,1.0,0.9466226198000001,0.21188521038310784,0.8932452396000001,False
16.0,0.9500000000000001,Spike,1.0,0.9108952264,0.27489039727529224,0.8217904528,False
16.0,0.9400000000000001,Spike,1.0,0.8669534696000001,0.33132210990554,0.7339069392000002,False
16.0,0.93,Spike,1.0,0.8218956434,0.3752119713199889,0.6437912868,False
16.0,0.92,Spike,1.0,0.7760323083999999,0.41018440348791935,0.5520646167999999,False
16.0,0.91,Spike,1.0,0.7418019864000001,0.43124418349535093,0.4836039728000001,False
16.0,0.9,Spike,1.0,0.7267627068,0.4393510113112581,0.4535254136,False
16.0,0.89,Spike,1.0,0.7314951786,0.4368433300432586,0.46299035720000004,False
16.0,0.88,Spike,0.0,0.6647368577999999,0.4661138014058496,0.32947371559999983,False
16.0,0.87,Spike,0.0,0.5884054816,0.48645099716538837,0.1768109631999999,False
16.0,0.86,Spike,0.0,0.5428444818,0.4924741396629783,0.0856889636,False
16.0,0.85,Spike,1.0,0.5785792576,0.4878015489298275,0.1571585151999999,False
16.0,0.8400000000000001,Spike,1.0,0.6206793612,0.47910522316399073,0.2413587224,False
16.0,0.8300000000000001,Spike,0.0,0.5725972856,0.488666639701233,0.1451945712,False
16.0,0.8200000000000001,Spike,1.0,0.5620554114,0.4898743131850412,0.12411082280000008,False
16.0,0.81,Spike,0.0,0.5547839024000001,0.49075708541193014,0.10956780480000017,False
16.0,0.8,Spike,1.0,0.5570839122000001,0.49014845978473576,0.11416782440000017,False
16.0,0.79,Spike,0.0,0.5431934302,0.49145783686192795,0.08638686039999999,False
16.0,0.78,Spike,0.0,0.5700607094,0.4880356953212026,0.14012141879999995,False
16.0,0.77,Spike,1.0,0.5578680882000001,0.4892803339191626,0.11573617640000022,False
16.0,0.76,Spike,1.0,0.5512076072,0.48960233341119647,0.1024152143999999,False
16.0,0.75,Spike,1.0,0.548637176,0.489501241746307,0.0972743519999999,False
16.0,0.74,Spike,1.0,0.5483088276,0.4891526377374782,0.09661765519999999,False
16.0,0.73,Spike,0.0,0.544862885,0.48898500227204633,0.08972577000000004,False
16.0,0.72,Spike,1.0,0.5306105326,0.4891157437658106,0.061221065200000035,False
16.0,0.7100000000000001,Spike,0.0,0.5444932764,0.4877052139730754,0.08898655280000001,False
16.0,0.7000000000000001,Spike,1.0,0.5388133984,0.4872902173366013,0.07762679679999995,False
16.0,0.6900000000000001,Spike,1.0,0.5353086874,0.4865554918491211,0.07061737480000008,False
16.0,0.68,Spike,1.0,0.5357525502,0.4855207343099226,0.07150510040000002,False
16.0,0.67,Spike,0.0,0.536953637,0.4844687737179563,0.07390727399999997,False
16.0,0.66,Spike,1.0,0.530746189,0.4829723103947713,0.06149237800000007,False
16.0,0.65,Spike,0.021033,0.5301946280000001,0.482129412689982,0.06038925600000011,False
16.0,0.64,Spike,0.285043,0.5286704796,0.48009441044201123,0.05734095920000004,False
16.0,0.63,Spike,1.0,0.531461981,0.4780195604287757,0.06292396199999994,False
16.0,0.62,Spike,0.055218,0.529053366,0.4767856683740507,0.05810673199999994,False
16.0,0.61,Spike,0.000646,0.5311158616,0.4742782282180446,0.06223172320000003,False
16.0,0.6,Spike,0.153563,0.5279431704,0.4718723365004813,0.0558863408000001,False
16.0,0.59,Spike,1.0,0.5305926178,0.46888628803900284,0.0611852356,False
16.0,0.5800000000000001,Spike,1.0,0.5290959033999999,0.4670463936046297,0.0581918067999998,False
16.0,0.5700000000000001,Spike,0.000439,0.529823599,0.46151326141699994,0.05964719799999996,False
16.0,0.56,Spike,0.523857,0.5261850274000001,0.45970492085504877,0.05237005480000012,False
16.0,0.55,Spike,0.028733,0.5266731410000001,0.4536325793509338,0.053346282000000134,False
16.0,0.54,Spike,1.0,0.5268781318,0.45128649962655504,0.053756263599999965,False
16.0,0.53,Spike,0.041275,0.5255895359999999,0.4459550593482083,0.051179071999999826,False
16.0,0.52,Spike,0.008195,0.5259550956,0.4416480998566287,0.051910191199999955,False
16.0,0.51,Spike,1.0,0.5250530604000001,0.43639780158375524,0.05010612080000021,False
16.0,0.5,Spike,0.164676,0.5230461504,0.42973879356018574,0.04609230080000004,False
16.0,0.49,Spike,0.277901,0.5223481694,0.4258351550251381,0.0446963387999999,False
16.0,0.48000000000000004,Spike,0.863564,0.5218329427999999,0.4207470097785298,0.04366588559999984,False
16.0,0.47000000000000003,Spike,1.0,0.5216751911999999,0.41360327447868367,0.04335038239999989,False
16.0,0.46,Spike,1.0,0.520985449,0.40640727471379284,0.04197089799999998,False
16.0,0.45,Spike,1.0,0.5202564196,0.3998903462153444,0.04051283920000004,False
16.0,0.44,Spike,1.0,0.5191001978,0.3919796695058577,0.0382003956000001,False
16.0,0.43,Spike,0.485205,0.5179738358,0.3841296072535131,0.03594767160000001,False
16.0,0.42000000000000004,Spike,0.080933,0.5182108200000001,0.3790018576284533,0.036421640000000144,False
16.0,0.41000000000000003,Spike,1.0,0.5174040762000001,0.3713519158851651,0.034808152400000125,False
16.0,0.4,Spike,0.154409,0.5164761146,0.3638894869011625,0.03295222919999996,False
16.0,0.39,Spike,0.12927,0.5158731878,0.3562312140928441,0.03174637560000004,False
16.0,0.38,Spike,1.0,0.5149148581999999,0.34813723796181595,0.029829716399999873,False
